===== Reading from file =====
Packet count: 30000000
Time elapsed: 0.866187 s
Throughput: 3.46345e+07 pkt/s
Packet memory occupation: 382956KB
===== Reading finished =====

===== Benchmarking =====
Algorithm      Parameter                Round     Ins.Time(s)    Ins.Thp.(p/s)  Ins.Mem.(KB)   Query Time(s)  AAE       ARE            Precision      Recall         F1
answer         k=100                    -         8.55578        3.5064e+06     475641         0.669803       0         0              1              1              1              

heavy_keeper   d=3,w=1600,b=1.08,k=100  0         13.785         2.1763e+06     108.41         7.5e-06        1367      0.005172       0.98           0.98           0.98           
heavy_keeper   d=3,w=1600,b=1.08,k=100  1         13.682         2.1927e+06     108.41         9.4e-06        0.92      5.253e-06      0.99           0.99           0.99           
heavy_keeper   d=3,w=1600,b=1.08,k=100  2         13.708         2.1886e+06     108.41         6.9e-06        0.59      6.216e-06      0.99           0.99           0.99           
heavy_keeper   d=3,w=1600,b=1.08,k=100  3         13.668         2.195e+06      108.41         7.5e-06        13.24     0.0002586      1              1              1              
heavy_keeper   d=3,w=1600,b=1.08,k=100  4         13.817         2.1712e+06     108.41         9.1e-06        10.59     9.311e-05      0.99           0.99           0.99           

HK_parallel    3,200,1.08,tc=2,k=100    0         9.8442         3.0475e+06     52.812         8.46e-05       4921      0.03901        0.94           0.94           0.94           
HK_parallel    3,200,1.08,tc=2,k=100    1         10.053         2.9842e+06     52.812         6.56e-05       5113      0.0402         0.94           0.94           0.94           
HK_parallel    3,200,1.08,tc=2,k=100    2         9.7865         3.0655e+06     52.812         5.04e-05       9010      0.05674        0.95           0.95           0.95           
HK_parallel    3,200,1.08,tc=2,k=100    3         9.8308         3.0516e+06     52.812         5.79e-05       3044      0.03566        0.92           0.92           0.92           
HK_parallel    3,200,1.08,tc=2,k=100    4         9.8696         3.0396e+06     52.812         6.29e-05       7790      0.03561        0.92           0.92           0.92           

HK_parallel    3,200,1.08,tc=4,k=100    0         6.2406         4.8072e+06     105.51         0.000101       9211      0.06666        0.99           0.99           0.99           
HK_parallel    3,200,1.08,tc=4,k=100    1         6.162          4.8685e+06     105.48         0.0001081      6673      0.05917        0.99           0.99           0.99           
HK_parallel    3,200,1.08,tc=4,k=100    2         6.3137         4.7516e+06     105.57         9.68e-05       8337      0.05421        0.98           0.98           0.98           
HK_parallel    3,200,1.08,tc=4,k=100    3         6.2162         4.8261e+06     105.54         8.18e-05       8602      0.06687        1              1              1              
HK_parallel    3,200,1.08,tc=4,k=100    4         6.2139         4.8279e+06     105.54         8.17e-05       8686      0.04919        0.95           0.95           0.95           

HK_parallel    3,200,1.08,tc=6,k=100    0         5.4914         5.4631e+06     158.23         0.0001079      6378      0.04818        0.99           0.99           0.99           
HK_parallel    3,200,1.08,tc=6,k=100    1         5.5188         5.436e+06      158.33         0.0001065      5376      0.04233        0.98           0.98           0.98           
HK_parallel    3,200,1.08,tc=6,k=100    2         5.3476         5.61e+06       158.33         0.0001435      6104      0.0597         0.98           0.98           0.98           
HK_parallel    3,200,1.08,tc=6,k=100    3         5.4873         5.4671e+06     158.33         0.000107       6605      0.04901        0.99           0.99           0.99           
HK_parallel    3,200,1.08,tc=6,k=100    4         5.7745         5.1953e+06     158.33         0.0001064      7883      0.07207        0.99           0.99           0.99           

HK_parallel    3,200,1.08,tc=8,k=100    0         6.7211         4.4636e+06     210.99         0.0001367      5530      0.04639        0.97           0.97           0.97           
HK_parallel    3,200,1.08,tc=8,k=100    1         5.432          5.5228e+06     210.93         0.0001343      6495      0.04699        0.98           0.98           0.98           
HK_parallel    3,200,1.08,tc=8,k=100    2         5.9399         5.0506e+06     211.02         0.0001568      6336      0.0543         1              1              1              
HK_parallel    3,200,1.08,tc=8,k=100    3         6.473          4.6346e+06     210.99         0.0001322      5793      0.04906        0.98           0.98           0.98           
HK_parallel    3,200,1.08,tc=8,k=100    4         5.5798         5.3765e+06     210.84         0.0001336      7202      0.04761        1              1              1              

===== Benchmark finished =====
